# condiciones_iniciales
tiempo;temperatura;id;presion_total;fraccion_molar;tipo_especie;nombre_data;presion_parcial;especie_quimica;detalle
Reacción de transformación de A en R A=>2R;R;R;A=>2R;2;2.0;producto

# registro_unidades
concentracion;presion;temperatura;r;tiempo;id;energia;nombre_data
mol/L;atm;C;0.0821;min;1;atm*L;01_DisenoReactores_Roman_p7r_p32
mol/L;atm;C;1.987;s;2;cal;test1

# datos_salida
id_condiciones_iniciales;nombre_data_salida;fecha;id_registro_unidades;nombre_data;delta_n_reaccion;tipo_especie;constante_cinetica;modelo_cinetico;detalles;id;id_nombre_data;r_utilizada;nombre_reaccion;epsilon_reactivo_limitante;especie_quimica;orden_reaccion;tipo_calculo
1;01_DisenoReactores_Roman_p7r_p32_C1;12/07/2024;1;01_DisenoReactores_Roman_p7r_p32;1.0;reactivo_limitante;1.8953655388114619;modelo_n_orden;None;1;1;0.0821;A=>2R;0.5;A;1.9921734551312955;método integral
2;01_DisenoReactores_Roman_p7r_p32_C2;12/07/2024;1;01_DisenoReactores_Roman_p7r_p32;1.0;reactivo_limitante;37.80000000001857;modelo_segundo_orden;None;2;1;0.0821;A=>2R;0.5;A;2.0;método integral

# datos_salida_arrhenius


